folk rock,7
adult alternative pop/rock,3
pop punk,2
dance,1
alternative country,1
rock pop,1
pop,15
crossover,1
contemporary country,1
new wave,2
power pop,3
adult contemporary,2
dance-pop,1
heavy metal,2
alternative,1
hard rock,3
progressive rock,1
acoustic rock,1
folk,2
alternative rock,13
blues,2
pop rock,15
indie rock,4
blues rock,2
electronic,1
baroque pop,1
r&b,2
[1] punk rock,1
country pop,4
alternative and punk,1
ska,1
new bands,1
soft rock[1],1
ska punk,1
punk rock,1
jazz,1
acoustic,2
piano rock,2
neo-medieval,1
alternrock,1
alternative/indie rock,3
classic prog,1
soft rock,4
electropop,1
folk-pop,1
folktronica,1
[1] folktronica[2],1
american trad rock,1
post-britpop,3
celtic,1
euro-pop,1
reggae fusion,1
country,4
blues_rock_pop rock_rock_pop rock_blues_rock,1
country-pop,1
latin pop,2
disco,1
reggae rock,1
pop/rock,4
soundtrack,2
hip hop,1
adult alternative rock,1
rock,8
covered by glee,1
dance pop,1
folk pop,1
alternative rock[1],1
indie pop,3
