folk rock,7
adult alternative pop/rock,3
pop punk,2
dance,1
alternative country,1
pop,15
crossover,1
contemporary country,1
new wave,2
power pop,3
adult contemporary,2
heavy metal,2
alternative,1
hard rock,3
progressive rock,1
acoustic rock,1
folk,2
alternative rock,15
blues,2
pop rock,20
indie rock,4
blues rock,3
electronic,1
baroque pop,1
r&b,2
country pop,5
alternative and punk,1
ska,1
ska punk,1
punk rock,2
jazz,1
acoustic,2
piano rock,2
neo-medieval,1
alternative/indie rock,3
classic prog,1
soft rock,5
electropop,1
folktronica,1
folktronica,1
american trad rock,1
post-britpop,3
celtic,1
euro-pop,1
reggae fusion,1
country,4
latin pop,2
disco,1
reggae rock,1
soundtrack,2
hip hop,1
adult alternative rock,1
rock,8
dance pop,2
folk pop,2
indie pop,3
